genre,title,artist,album,popularity,spotify_url
Indie Pop,Past Lives,BØRNS,Dopamine,69,https://open.spotify.com/track/1Dr5JexwA15wmKe7Y7maA9
Indie Pop,Sports,Beach Bunny,Sports,69,https://open.spotify.com/track/25WBAqR5bcRrs1du9L6AeC
Indie Pop,Juliet,Cavetown,Animal Kingdom,71,https://open.spotify.com/track/45ROR8UMn60YEVQnDy0uVF
Indie Pop,"10,000 Emerald Pools",BØRNS,Dopamine,67,https://open.spotify.com/track/2pA4ip3VIEVcIa3qE02oAX
Indie Pop,This Is Home,Cavetown,This Is Home,70,https://open.spotify.com/track/7s8VgA8OjvwBUuigKzEGBx
Indie Pop,You Are the Right One,Sports,Naked All the Time,73,https://open.spotify.com/track/2qpacEyFxmbxCpIEqZkqvC
Indie Pop,broken,lovelytheband,finding it hard to smile,66,https://open.spotify.com/track/6XcfKZvJio9Z0fQy11GnNX
Indie Pop,Light On,Maggie Rogers,Heard It In A Past Life,70,https://open.spotify.com/track/6UnCGAEmrbGIOSmGRZQ1M2
Indie Pop,Love You For A Long Time,Maggie Rogers,Love You For A Long Time,68,https://open.spotify.com/track/6QTPacyXkZWG9FMwq6L1hJ
Indie Pop,bad idea!,girl in red,bad idea!,72,https://open.spotify.com/track/57j65yC2HggQfmYNc6rdOK
Indie Pop,Be Sweet,Japanese Breakfast,Jubilee,67,https://open.spotify.com/track/0dpyzcT3RMNNSd2xKBf35I
Indie Pop,Stargazing,The Neighbourhood,Chip Chrome & The Mono-Tones (Deluxe),70,https://open.spotify.com/track/0VF7YLIxSQKyNiFL3X6MmN
Indie Pop,Harvey,Her's,Invitation to Her's,72,https://open.spotify.com/track/1zFbBrZmJr1Z49HYe84dBg
Indie Pop,Cloud 9,Beach Bunny,Honeymoon,72,https://open.spotify.com/track/3ZgkHyoKfNMcHTXC0X1qQj
Indie Pop,Goodie Bag,Still Woozy,Goodie Bag,69,https://open.spotify.com/track/4vHNeBWDQpVCmGbaccrRzi
Indie Pop,Numb,Men I Trust,Numb,69,https://open.spotify.com/track/6Ijmj8Z0L31hCp5pLZnT5U
Indie Pop,Second Nature,Clairo,Charm,68,https://open.spotify.com/track/7cFwopK7QTOgaEwF9JgipA
Indie Pop,Ode to a Conversation Stuck in Your Throat,Del Water Gap,Del Water Gap,69,https://open.spotify.com/track/51Lf3l6wx008NdBxCQnD6B
Indie Pop,Devil Town,Cavetown,Cavetown,71,https://open.spotify.com/track/0vf2eBw2inhl8y61cYQMv2
Indie Pop,Add Up My Love,Clairo,Charm,70,https://open.spotify.com/track/6FcDxtnGfsYHOcGkXN2OIG
Indie Pop,Coffee,beabadoobee,Coffee,74,https://open.spotify.com/track/429NtPmr12aypzFH3FkN9l
Indie Pop,Why,Dominic Fike,What Could Possibly Go Wrong,67,https://open.spotify.com/track/1xLs8Mu1QEVbGCpyHQ2r2U
Indie Pop,Always Love featuring Hyunjin (Stray Kids),"d4vd, Hyunjin",Always Love featuring Hyunjin (Stray Kids),73,https://open.spotify.com/track/1WKafez8TM4dVYlSsxi6dS
Indie Pop,Can I Call You Tonight?,Dayglow,Fuzzybrain,75,https://open.spotify.com/track/61OJxhoY3Ix50rYVKo8zRK
Indie Pop,Alaska,Maggie Rogers,Heard It In A Past Life,71,https://open.spotify.com/track/4HfLQJtVT1KiX1eVedDyTm
Indie Pop,All I Ever Asked,Rachel Chinouriri,What A Devastating Turn of Events,69,https://open.spotify.com/track/1awQLv1J6LkeEQ5co4OOoQ
